title,subtitle,similarity_score
8th Grade Math,Master 8th Grade Math Concepts,0.6387193
Math Adventure: Addition,Embark on a Math Quest!,0.59727716
SAT: Math Study Session,Ace Your SAT Math,0.51147854
Math Adventure: Subtraction,Embark on a Subtraction Quest,0.5091894
Math Adventure: Multiplication,Explore Multiplication Mysteries,0.498741
Math Adventure: Fractions,Embark on a Fraction Quest,0.45333827
Math Riddles: Unlock The Treasure,Discovering the Power of Equivalent Expressions,0.44566202
ACT: Math Study Session,Interactive ACT Math Preparation,0.43613258
The Fraction Bakery: Mixing it Up,Learning to Add and Subtract with Unequal Denominators,0.42606467
Maria the Math Tutor,"Meet Maria, a knowledgable and friendly math tutor for all ages",0.410527
Haunted Math Mansion,"Solve Puzzles, Escape Specters!",0.40344447
Shopping with Decimals,Mastering Decimals in Shopping,0.3930965
Ratios Rally: Fraction Edition,Race to Solve Real-World Ratio Proportions,0.34890336
Fraction Baker,Master the Art of Fraction Baking,0.3449064
AP Calculus Study Session,Interactive AP Calculus Learning,0.34460804
Ratio Rush,Embark on an Adventure to Unlock the Secrets of Ratios,0.34312314
Mathematical Reasoning: Scale Factor,Understanding Scale Factor through Drawing,0.331602
Proportions,Mastering Ratio Comparisons,0.318397
The Cave of Multiplication,Find the Treasure and Escape the Cave,0.31651706
Katherine Johnson,Honoring NASA Mathematician Genius,0.31497303
Graph Quest Assessment,A Mission to Test Your Graphing Mastery,0.30177122
Rounding Rally,Mastering the race to round numbers,0.3006933
Journey through Place Value City,An introductory adventure into the world of large numbers,0.29490995
Sam the Science Tutor,"Meet Sam, a brilliant and friendly science tutor for all ages",0.29359084
Algebra,Navigating Algebraic Equations,0.2915207
Ada Lovelace,Exploring the Life and Contributions of the World's First Computer Programmer,0.28143305
Economics,Unraveling the World of Economics,0.2812657
STAAR Practice  5th Grade Science ,Interactive 5th Grade Science Prep,0.27791703
Tim the Test Prep Tutor,"Meet Tim, a knowledgeable test prep tutor for all ages and tests",0.27271324
Climbing Multiplication Mountain,Practice Makes Perfect in Scaling the Peaks,0.27227104
SAT: Writing and Language Study Session,Interactive SAT Tutoring,0.26367468
Albert Einstein,Exploring the Life and Contributions of a Remarkable Physicist,0.26261714
Isaac Newton,Exploring the Life and Contributions of a Revolutionary Scientist,0.2548265
Pulse: Exit Ticket,End class by asking students how they feel about today’s topic,0.25224727
Herc the History Tutor,"Meet Herc, a time-traveling history tutor for all ages",0.24517903
Enrico the Economics Tutor,"Meet Enrico, a savvy economics tutor for all ages",0.23722911
Theo the Technology Tutor,"Meet Theo, a tech-savvy technology tutor for all ages",0.233477
AI 101,Exploring the world of AI,0.23241349
Place Value Explorer,Interactive practice with multi-digit number operations,0.22773057
The Magic Tree House series,Discovering the Magic of Reading,0.22697538
Newton's Laws of Motion,Exploring Newton's Fundamental Laws,0.22645617
Interview with Ruby Bridges,First Steps Toward Equality,0.22553031
Welcome to 4th Grade! A Quick Hello and a Few Questions,Get to Know Your 4th Graders!,0.213562
Lindy the Literature Tutor,"Meet Lindy, a well-read and friendly literature tutor for all ages",0.21217158
Sika the Social Studies Tutor,"Meet Sika, a well-informed and friendly social studies tutor for all ages",0.21183679
Understanding AI,Demystifying the World of Artificial Intelligence,0.20959032
AP Computer Science Principles Study Session,Interactive Learning with AI Tutor,0.20948684
Choose Your Own Adventure,An exciting topic-based adventure for your students,0.20834541
Exploring SchoolAI for teachers - Taylor's Version,Unleash AI's Potential in Teaching,0.20573065
Tales of a Fourth Grade Nothing,Exploring Judy Blume's Fourth Grade Adventures,0.20432591
Biology,Understanding Life and Living Organisms,0.20222849
SAT: Reading Study Session,Master the SAT Reading section with AI,0.19801086
Spanish x English Language Tutor,Supporting multilingual students learning or leveling up with English,0.19469164
Student Engagement Springboard for Coaches and Teachers,Boosting Student Engagement and Increasing Deep Thinking in the Classroom,0.19441292
Astronomy,Exploring the Universe,0.1930436
5th Grade Writing Coach,Enhancing 5th Grade Writing Skills,0.19221371
Pulse: Bellringer,Start class by introducing a topic and asking students how they're feeling,0.19189972
Conversion Mastery Challenge,Practice Through Gamified Missions,0.19009295
States of Matter,"Understanding Solids, Liquids, and Gases",0.18933283
AP Chemistry Study Session,Master AP Chemistry with SchoolAI,0.18898383
Periodic Table,Discover the World of Elements,0.18685925
Exploring SchoolAI Teacher Assistants ,Navigate SchoolAI Teaching Tools - Teach Smarter Not Harder,0.18214005
Digital Wellness,Understanding and Practicing Digital Wellness,0.18212324
4th grade narrative writing,Enhance 4th Grade Narrative Writing,0.18188134
FAFSA Application Study Session,Mastering Financial Aid Applications,0.18030533
World War One,Unraveling The Great War,0.17959213
Producing Music at Spotify,Discover the Art of Audio Engineering,0.17750648
Book Explorer,A student chat experience for the book of your choice,0.17710587
Inference Inspector,A Test of Your Detective Skills,0.17539924
Medieval Times,History - Medieval Era,0.17441967
Erin the English Tutor,"Meet Erin, a well-versed english tutor for all ages",0.17216375
"Brown Bear, Brown Bear, What Do You See?",Interactive Reading Exploration,0.17094003
George Washington Carver,Exploring the Legacy of an Innovative Agricultural Scientist and Inventor,0.16881713
Topic Explorer,A student chat experience for the topic of your choice,0.16647154
Civil War,Understanding America's Civil War,0.16401054
Food Webs Exploration,Interactive Food Webs Learning Journey,0.16258718
Reflecting and Planning for 2024,Setting Personal Milestones,0.1623432
Sidekick,Give your students managed access to their very own AI assistant.,0.16229099
Holes,Exploring the Narrative of 'Holes',0.16014555
Text Structure Explorers,Assessing Mastery in Identifying Structures,0.157126
Harold and the Purple Crayon,Interactive Story Exploration,0.1561488
Leonardo Da Vinci,Exploring the Life and Works of a Renaissance Genius,0.15509585
Culinary Arts at Blue Apron,Exploring Food Pathways: An educational journey on food production and healthy eating,0.15509327
Public Policy and Administration,Exploring the Fundamentals of Public Policy and Administration,0.15493034
Exploring our Solar System,Invite students to blast off on a tour of our amazing Solar System.,0.15306224
World War Two,Uncover the History of World War Two,0.14983423
SchoolAI Intro for Coaches,Exploring AI Applications in Education,0.14874342
Cause & Effect Escape Room,Fun cause and effect puzzles,0.14865445
Chicka Chicka Boom Boom,Alphabet Story Exploration,0.14827651
Halloween Party Escape Room,Spooky educational escape room adventure,0.14809223
Career Interviews per 3,Exploring Careers Through Interviews,0.14785314
Back to School Ice Breakers,Kickstart Classroom Camaraderie,0.1476187
Green Eggs and Ham,Discovering Dr. Seuss,0.14753279
Socrates,Exploring the Philosophy and Wisdom of Socrates,0.14557609
Alexander Graham Bell ,Exploring the Life of a Communication Pioneer,0.14493594
Black History Month,Exploring the Roots of Black History,0.14138651
Tutoring Session,A chat-based tutoring session for any topic,0.13763285
The Thief of Always Chapters 1-3,Exploring Clive Barker's Fantasy World,0.13714732
1984,Exploring Orwell's Dystopian Novel,0.13677216
ACT Study Session,Interactive Preparation for ACT Exam,0.1357499
A Taste of SchoolAI,Interactive AI Educational Activities,0.1356157
The Very Hungry Caterpillar,Interactive Book Exploration,0.13425356
Hiro the Health & Fitness Tutor,"Meet Hiro, a friendly health & fitness tutor for all ages",0.13361785
Harry Potter Series,Exploring Magic and Literature,0.13333732
Amelia Earhart,Exploring the Life and Achievements of a Pioneering Aviator,0.13242483
Historic Figure Chatbot,Allow students to chat with the historical figure of your choice,0.13222171
Video Explorer,Engage students with an interactive video experience,0.13178223
Charlotte's Web,Exploring Classic Literature,0.13070977
Spanish Cafe,Immerse students in the vibrant world of Spanish culture and language.,0.12857586
May the 4th Be With You,Embark on a Galactic Review Quest,0.12815318
Automotive Technology,Explore Automotive Technology,0.12676287
<<REPLACE WITH YOUR NAME>> Classroom Procedure Activity,Interactive Classroom Scenarios,0.1260174
Fashion Design at Chanel,Exploring Creativity in High Fashion,0.124650925
William Shakespeare,Exploring the Life and Works of the Bard of Avon,0.12445615
Context Clues,Decipher Vocabulary with Context,0.12444946
SchoolAI Brainstormer,Innovative AI Teaching Assistant,0.12339046
Frog and Toad Are Friends,Exploring the world of Frog and Toad,0.122986175
The First Thanksgiving,A Step Back in Time,0.12269
Hatchet,An Interactive Reading Adventure,0.12248825
SMART Goal Generator,Craft Personal SMART Goals,0.1217031
RISE Writing Informative,Honing Informative Writing Skills,0.1208807
Which Greek God are You?,Discover Your Olympian Alter Ego,0.120824486
Charlie Chaplin ,Life and Career of a Film Legend,0.119498074
Informational Text Generator,Craft Tailored Educational Texts,0.117712036
Maya Angelou ,Discovering the Life and Legacy of Maya Angelou,0.116871186
Back to School Night Parent Chat,Back To School Night,0.11451526
Theodore Roosevelt,Delve into the Life of Theodore Roosevelt,0.11326357
Women's History Month Facts,Celebrating Women's Historical Impact,0.11173703
To Kill a Mockingbird,Interactive Book Exploration,0.108914025
Research Project Companion,Guided Research Skill Development,0.10685132
Jane Austen,"Exploring the Life, Novels and Social Commentary of Jane Austen",0.10529937
Civics & Government,Understanding Our Society,0.104339615
Book Recommender,Personalized Book Suggestions,0.10408504
The History of Valentine's Day,Uncover Love's Historical Journey,0.1040117
Zoo Designers,Plan and Map a Zoo on the Coordinate Plane,0.10176972
Empathy for Others,Fostering Understanding and Compassion,0.10048162
Ancient Egypt,Discovering the Wonders of Ancient Egypt,0.10021631
Valentine Generator - Puns,Craft Witty Love Card Puns,0.09904607
Forensic Files: Grandma Got Ran Over by a Reindeer,Solving Grandma's Festive Mystery,0.0983021
Spooky Story Guided Writing,Guided spooky story writing process,0.09796664
Charles Darwin ,A Chat with the Father of Evolution,0.09700723
Welcome Back Staff,The 2024 school year will be great,0.096235305
Dictionary,Explore and Learn New Words,0.095270865
Adventure Quiz: Volcanoes,A quiz-based volcano adventure game.,0.09398669
Sacagawea ,Exploring the Life of Sacagawea,0.093521185
Biology Virtual Field Trip,Interactive Anatomy Exploration,0.09297837
Neil Armstrong,Exploring the Life and Achievements of the First Man on the Moon,0.09297436
Martin Luther King Jr,Exploring the Life and Legacy of a Civil Rights Icon,0.090421565
Bats,Discover the World of Bats,0.09034196
Intolerable acts,,0.090186596
Life Cycle of a Pumpkin,From Seed to Pumpkin,0.08988195
Career Exploration Chatbot,A student chat experience for any career path,0.087701865
Alexander the Great ,History's Greatest Conqueror,0.08667577
Harriet Tubman,Interacting with History: Harriet Tubman,0.086381376
Sally Ride ,Exploring the Life of Sally Ride,0.08463301
Frida Kahlo,Engage in a Learning Chat with the Iconic Mexican Painter,0.084550634
The Great Gatsby,Exploring Fitzgerald's Masterpiece,0.08399424
Cleopatra ,Engage with History - Cleopatra's Egypt,0.08315963
Turkey in Disguise,A fun Thanksgiving-themed activity!,0.08304048
Professional Development Planner,Craft an Engaging PD Session,0.08265388
Horror Book Writing Editor,Craft Your Horror Story,0.08182162
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Exploring Emotions and Resilience through Literature,0.081562854
Game Design at Epic Games,Dive deep into the world of video game creation with industry professionals.,0.08079818
King Tutankhamun ,Discovering Ancient Egypt's Young Pharaoh,0.07946745
Which Bluey Character Are You?  ,Discover Your Bluey Persona,0.07813454
Creating Content on YouTube,Mastering Video Production and SEO Strategies,0.07791409
Environmental Science at Tesla,Exploring Sustainability in Modern Industries,0.07705911
Marie Curie,Exploring the Life and Achievements of the Pioneer in Radioactivity,0.07669643
Solar Eclipses,Unveiling the Mysteries of Solar Eclipses,0.07492126
Digital Citizenship Escape Room,Interactive Digital Citizenship Challenge,0.07479349
PSAT Study Session,Prep for PSAT with AI,0.07323104
Ancient Rome,Exploring the World of Ancient Rome,0.07313754
Mark Twain ,Interactive AI Chat with Mark Twain,0.0699787
Tattle Tell Bot ,Solving Conflicts with Kindness,0.069455594
The Diary of Anne Frank,An interactive exploration of 'The Diary of Anne Frank',0.06671432
Forest Ecosystems,Discover the Intricacies of Forest Life,0.06639475
Frederick Douglass,Chat with a prominent abolitionist and social reformer,0.063307345
Joan of Arc ,Chat with Joan of Arc,0.05933435
Climate Change Project,Engage with Climate Change!,0.057730637
Wetlands Ecosystems,Exploring the Wonders of Wetlands,0.056000635
American Revolution,Exploring the Birth of a Nation,0.054530755
Rap battle - Walt Disney vs Hayao Miyazaki,Animated Icons Throwdown,0.05132052
George Washington,Exploring the Life and Legacy of America's First President,0.051016342
Because of Winn-Dixie,Exploring 'Because of Winn-Dixie',0.050272744
Ask an Explorer,Interviewing Explorers from History,0.04976502
Jane Goodall,Conversations with Jane Goodall,0.047872692
French Cafe,Interactive French Language Practice,0.04693687
Abraham Lincoln ,Chat with Abraham Lincoln,0.04387275
Talk Like a Pirate,Learn Pirate Words & Phrases,0.042997442
Interactive Survival Scenarios ,Interactive Survival Adventure,0.037049126
Native American History,Uncover the Roots of Native Cultures,0.03552659
Sharing Holiday Traditions,Explore Global Festive Joy,0.03538771
Ruth Bader Ginsburg,Explore the Legacy of RBG,0.033235453
Create Your Own Experience,Create your own activity with custom instructions and guidelines!,0.029494055
Desert Ecosystems,Exploring Life in Arid Landscapes,0.028679064
Freshwater Ecosystems,Understanding Freshwater Ecology,0.017176116
Veterans Day,Understanding the significance of Veterans Day,0.01613127
Winter Around The World,Explore Holiday Traditions Globally,-0.001274649
The Macy's Thanksgiving Day Parade,Let's Head to New York City for a PARADE,-0.011877889
Earth’s Layers & Tectonic Plates,Discovering the Earth from the Inside Out,-0.06659467
