"title","subtitle"
Sidekick,Give your students managed access to their very own AI assistant.
Create Your Own Experience,Create your own activity with custom instructions and guidelines!
Pulse: Bellringer,Start class by introducing a topic and asking students how they're feeling
Pulse: Exit Ticket,End class by asking students how they feel about today’s topic
Maria the Math Tutor,"Meet Maria, a knowledgable and friendly math tutor for all ages"
Video Explorer,Engage students with an interactive video experience
Choose Your Own Adventure,An exciting topic-based adventure for your students
Haunted Math Mansion,"Solve Puzzles, Escape Specters!"
Book Explorer,A student chat experience for the book of your choice
Historic Figure Chatbot,Allow students to chat with the historical figure of your choice
Martin Luther King Jr,Exploring the Life and Legacy of a Civil Rights Icon
Amelia Earhart,Exploring the Life and Achievements of a Pioneering Aviator
The Cave of Multiplication,Find the Treasure and Escape the Cave
George Washington,Exploring the Life and Legacy of America's First President
Abraham Lincoln ,Chat with Abraham Lincoln
Tutoring Session,A chat-based tutoring session for any topic
Topic Explorer,A student chat experience for the topic of your choice
Harriet Tubman,Interacting with History: Harriet Tubman
Halloween Party Escape Room,Spooky educational escape room adventure
Erin the English Tutor,"Meet Erin, a well-versed english tutor for all ages"
Green Eggs and Ham,Discovering Dr. Seuss
ACT: Math Study Session,Interactive ACT Math Preparation
Back to School Ice Breakers,Kickstart Classroom Camaraderie
Turkey in Disguise,A fun Thanksgiving-themed activity!
The Very Hungry Caterpillar,Interactive Book Exploration
American Revolution,Exploring the Birth of a Nation
Sacagawea ,Exploring the Life of Sacagawea
Math Adventure: Addition,Embark on a Math Quest!
Herc the History Tutor,"Meet Herc, a time-traveling history tutor for all ages"
SAT: Math Study Session,Ace Your SAT Math
Neil Armstrong,Exploring the Life and Achievements of the First Man on the Moon
Book Recommender,Personalized Book Suggestions
Math Adventure: Multiplication,Explore Multiplication Mysteries
Career Exploration Chatbot,A student chat experience for any career path
Albert Einstein,Exploring the Life and Contributions of a Remarkable Physicist
Spanish Cafe,Immerse students in the vibrant world of Spanish culture and language.
Frederick Douglass,Chat with a prominent abolitionist and social reformer
May the 4th Be With You,Embark on a Galactic Review Quest
Charlotte's Web,Exploring Classic Literature
States of Matter,"Understanding Solids, Liquids, and Gases"
Isaac Newton,Exploring the Life and Contributions of a Revolutionary Scientist
Civil War,Understanding America's Civil War
Life Cycle of a Pumpkin,From Seed to Pumpkin
Native American History,Uncover the Roots of Native Cultures
World War Two,Uncover the History of World War Two
Medieval Times,History - Medieval Era
Charlie Chaplin ,Life and Career of a Film Legend
Leonardo Da Vinci,Exploring the Life and Works of a Renaissance Genius
Sam the Science Tutor,"Meet Sam, a brilliant and friendly science tutor for all ages"
Cleopatra ,Engage with History - Cleopatra's Egypt
Alexander the Great ,History's Greatest Conqueror
AP Calculus Study Session,Interactive AP Calculus Learning
King Tutankhamun ,Discovering Ancient Egypt's Young Pharaoh
Food Webs Exploration,Interactive Food Webs Learning Journey
Research Project Companion,Guided Research Skill Development
Frog and Toad Are Friends,Exploring the world of Frog and Toad
The History of Valentine's Day,Uncover Love's Historical Journey
"Brown Bear, Brown Bear, What Do You See?",Interactive Reading Exploration
Veterans Day,Understanding the significance of Veterans Day
Alexander Graham Bell ,Exploring the Life of a Communication Pioneer
Shopping with Decimals,Mastering Decimals in Shopping
Harry Potter Series,Exploring Magic and Literature
Ada Lovelace,Exploring the Life and Contributions of the World's First Computer Programmer
Sally Ride ,Exploring the Life of Sally Ride
George Washington Carver,Exploring the Legacy of an Innovative Agricultural Scientist and Inventor
SchoolAI Brainstormer,Innovative AI Teaching Assistant
Holes,Exploring the Narrative of 'Holes'
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Exploring Emotions and Resilience through Literature
Empathy for Others,Fostering Understanding and Compassion
"1984",Exploring Orwell's Dystopian Novel
Climate Change Project,Engage with Climate Change!
The First Thanksgiving,A Step Back in Time
The Magic Tree House series,Discovering the Magic of Reading
SAT: Writing and Language Study Session,Interactive SAT Tutoring
Theo the Technology Tutor,"Meet Theo, a tech-savvy technology tutor for all ages"
Black History Month,Exploring the Roots of Black History
Ruth Bader Ginsburg,Explore the Legacy of RBG
Math Adventure: Subtraction,Embark on a Subtraction Quest
Frida Kahlo,Engage in a Learning Chat with the Iconic Mexican Painter
Earth’s Layers & Tectonic Plates,Discovering the Earth from the Inside Out
AP Computer Science Principles Study Session,Interactive Learning with AI Tutor
Understanding AI,Demystifying the World of Artificial Intelligence
Socrates,Exploring the Philosophy and Wisdom of Socrates
Rap battle - Walt Disney vs Hayao Miyazaki,Animated Icons Throwdown
Sika the Social Studies Tutor,"Meet Sika, a well-informed and friendly social studies tutor for all ages"
Women's History Month Facts,Celebrating Women's Historical Impact
ACT Study Session,Interactive Preparation for ACT Exam
AI 101,Exploring the world of AI
Enrico the Economics Tutor,"Meet Enrico, a savvy economics tutor for all ages"
Exploring our Solar System,Invite students to blast off on a tour of our amazing Solar System.
Adventure Quiz: Volcanoes,A quiz-based volcano adventure game.
Maya Angelou ,Discovering the Life and Legacy of Maya Angelou
Hatchet,An Interactive Reading Adventure
Charles Darwin ,A Chat with the Father of Evolution
Digital Citizenship Escape Room,Interactive Digital Citizenship Challenge
Solar Eclipses,Unveiling the Mysteries of Solar Eclipses
Chicka Chicka Boom Boom,Alphabet Story Exploration
To Kill a Mockingbird,Interactive Book Exploration
